word,topic,annotator_note
dominicana,cultura/tradiciones,
duele,sentimientos,
duerme,cotidiano,
dueña,trabajo,
durmiendo,cotidiano,
duro,descripciones,
echando,sin definir,
económicos,descripciones,
ejercicio,actividades,
emboque,actividades,
emigrar,experiencias,
emocionante,sentimientos,
empanadas,cocina,
empezó,sin definir,
enamoró,sentimientos,
encabalgar,trabajo,
encerrados,descripciones,
encierra,trabajo,
encima,descripciones,
encontré,experiencias,
enjaulados,descripciones,
enmallan,trabajo,
enoja,sentimientos,
enseñando,aprendizaje,
entera,descripciones,
entienda,aprendizaje,
entra,sin definir,
entregamos,sin definir,
entrego,sin definir,
entretiene,sentimientos,
equilibrio,actividades,
equipo,relaciones,
equipos,relaciones,
escalar,actividades,
escalera,infraestructura urbana,
escenario,infraestructura urbana,
escondidas,actividades,
escribir,actividades,
esfuerza,aprendizaje,
esmeralda,cultura/tradiciones,
espacio,sin definir,
españoles,cultura/tradiciones,
espiamos,actividades,
espía,actividades,
estiro,sin definir,
estrellita,ecosistema,
estudiamos,aprendizaje,
expedición,actividades,
experimento,actividades,
explica,aprendizaje,
explicarlo,aprendizaje,
explicó,aprendizaje,
exposición,actividades,
exquisitas,descripciones,
extinción,descripciones,
falta,sin definir,
famoso,descripciones,
fantástico,descripciones,
favoritas,identidad,
fe,cultura/tradiciones,
felices,sentimientos,
felicidad,sentimientos,
fierritos,cotidiano,
fino,descripciones,
afirmarme,trabajo,
firme,descripciones,
flecha,cotidiano,
floja,descripciones,
fogata,cotidiano,
fome,sentimientos,
foto,cotidiano,
frambuesas,cocina,
frases,aprendizaje,
frente,sin definir,
funciones,actividades,
galaxias,ecosistema,
galletas,cocina,
ganador,descripciones,
ganan,experiencias,
garza,ecosistema,
gatito,ecosistema,
gol,sin definir,
golpeamos,trabajo,
grasa,cocina,
gratis,descripciones,
gringa,sin definir,nombre
grises,descripciones,
grito,sin definir,
guanacos,ecosistema,
guanaqueros,trabajo,
guerra,experiencias,
gustaria,identidad,
hablaban,experiencias,
hablando,experiencias,
hacíamos,experiencias,
hermosa,descripciones,
hermosas,descripciones,
hinchas,identidad,
hojitas,ecosistema,
hornea,cocina,
horno,cocina,
hoyito,sin definir,
huertita,trabajo,
huerto,trabajo,
huillac,sin definir,nombre
huimica,expresión artística,telar
hundida,descripciones,
hámsters,ecosistema,
héroe,descripciones,
iba,experiencias,
importa,identidad,
importantes,identidad,
imposible,descripciones,
imposibles,descripciones,
inca,cultura/tradiciones,
inche,aprendizaje,
incubadora,salud/bienestar,
independencia,cultura/tradiciones,
indios,cultura/tradiciones,
infantil,descripciones,
intenso,descripciones,
intercambiamos,experiencias,
inventa,actividades,
irse,sin definir,
itinerante,descripciones,
jibias,ecosistema,
jojoto,ecosistema,
joropo,cultura/tradiciones,baile
joven,descripciones,
jovencita,descripciones,
judas,cultura/tradiciones,historico
jugador,descripciones,
juguetones,descripciones,
juntaran,sin definir,
k,sin definir,
kawellu,ecosistema,caball
kilos,sin definir,
kuku,relaciones,abuela paterna
kull'kull,expresión artística,
lados,descripciones,
ladra,descripciones,
lagarto,ecosistema,
laku,relaciones,abuelo pa
larguito,descripciones,
latas,cotidiano,
lavken,aprendizaje,
lavkenche,cultura/tradiciones,
lavkenches,cultura/tradiciones,
lenguados,ecosistema,
lentejuelas,descripciones,
letrero,cotidiano,
levadura,cocina,
levanta,sin definir,
lila,descripciones,
limpiar,trabajo,
listos,descripciones,
living,infraestructura urbana,
llegado,sin definir,
llenita,descripciones,
llenó,trabajo,
llevó,trabajo,
loncos,cultura/tradiciones,
lory'lof,cultura/tradiciones,
luces,cotidiano,
lucumillo,ecosistema,
luminoso,descripciones,
látigo,trabajo,
magnesio,salud/bienestar,
makuñ,expresión artística,
mala,descripciones,
mandadaba,experiencias,
mandalas,expresión artística,
mando,trabajo,
manera,sin definir,
mango,cocina,
manzanas,cocina,
maquillaje,cotidiano,
maquillan,actividades,
maracay,geografía,
marcamos,experiencias,
marcar,actividades,
mares,ecosistema,
mariposas,ecosistema,
mascota,relaciones,
mascotas,relaciones,
matar,sin definir,
mataron,experiencias,
matemática,aprendizaje,
maternos,relaciones,
mayor,descripciones,
medialuna,cocina,
medianoche,cotidiano,
medias,cotidiano,
melin,aprendizaje,
menta,ecosistema,
mete,sin definir,
meteorito,ecosistema,
metro,infraestructura urbana,
mezclo,trabajo,
migrantes,descripciones,
mimín,sin definir,
miquel,sin definir,
mirador,infraestructura urbana,
miradores,infraestructura urbana,
misión,sin definir,
modelo,trabajo,
monedita,cotidiano,
monito,ecosistema,
mono,ecosistema,
mora,ecosistema,
moras,ecosistema,
morenadas,cultura/tradiciones,
moronga,sin definir,
mostró,experiencias,
moverse,sin definir,
movida,sin definir,
moviendo,sin definir,
muerte,salud/bienestar,
mueve,sin definir,
murieron,salud/bienestar,
n,sin definir,
nacer,identidad,
nado,actividades,
natación,actividades,
nativos,cultura/tradiciones,
necesito,identidad,
noches,cotidiano,
novio,relaciones,
nudo,cotidiano,
nuevos,descripciones,
oboe,expresión artística,
ocupamos,sin definir,
ocurrió,experiencias,
olimpiadas,actividades,
olitas,sin definir,
operaron,experiencias,
ordenar,trabajo,
orgullosa,sentimientos,
orquídea,ecosistema,
orégano,cocina,
osadas,cultura/tradiciones,baile
oscura,descripciones,
ovillar,trabajo,
pali,cultura/tradiciones,
parecía,descripciones,
parezco,identidad,
parilla,cocina,
partiendo,sin definir,
pasacalles,cultura/tradiciones,desfile
paseos,infraestructura urbana,
pastito,ecosistema,
paterna,relaciones,
paterno,relaciones,
patrón,descripciones,
pecadores,trabajo,
pedacitos,sin definir,
pedro'montt,geografía,
pegaditos,descripciones,
pegarle,sin definir,
peinados,cotidiano,
pejegallos,ecosistema,
pelear,actividades,
peleo,actividades,
peligro,descripciones,
pelotitas,cotidiano,
pensé,identidad,
pepperoni,cocina,
pequeñitos,descripciones,
percusión,expresión artística,
perdió,experiencias,
perseguirla,actividades,
persiguan,experiencias,
pescador,trabajo,
pican,trabajo,
pide,sin definir,
pidió,experiencias,
pierdan,experiencias,
piernas,cotidiano,
pifilca,expresión artística,inst
pilladas,actividades,
pillábamos,experiencias,
pilló,experiencias,
pingen,aprendizaje,
pinté,experiencias,
pista,infraestructura urbana,
piuquén,ecosistema,paj
pizza,cocina,
plantaban,experiencias,
plateados,descripciones,
plazas,infraestructura urbana,
plástica,descripciones,
plástico,descripciones,
podía,sin definir,
polvito,sin definir,
poniendo,sin definir,
k'pop,expresión artística,
poquitito,sin definir,
porteña,cultura/tradiciones,
porteño,cultura/tradiciones,
portugués,cultura/tradiciones,
prenden,sin definir,
presentaciones,actividades,
presentación,actividades,
princesa,descripciones,
problemas,aprendizaje,
profesor,aprendizaje,
propia,identidad,
puedan,sin definir,
puente'alto,geografía,
purrún,cultura/tradiciones,
pusieron,sin definir,
péndulo,cotidiano,
público,descripciones,
quemaba,experiencias,
quemado,descripciones,
queque,cocina,
queremos,identidad,
quieras,identidad,
ramitas,ecosistema,
rapear,actividades,
raya,sin definir,
rayador,trabajo,
rayas,sin definir,
rayen,actividades,
real,descripciones,
realidad,descripciones,
recién,sin definir,
recogedores,trabajo,
reconciliados,relaciones,
recordar,sentimientos,
recorriendo,actividades,
regalarle,actividades,
regalón,descripciones,
regamos,trabajo,
regreso,sin definir,
relm,sin definir,
reloj,cotidiano,
representar,actividades,
resbalen,sin definir,
reímos,sentimientos,
reír,sentimientos,
rimas,aprendizaje,
rindan,sentimientos,
roscas,cocina,
ruca,cultura/tradiciones,
rueditas,cotidiano,
s,sin definir,
sabían,aprendizaje,
sacos,cotidiano,
salada,cocina,
salinas,cocina,
salmón,ecosistema,
salsa,cocina,
salta,actividades,
saltamos,actividades,
saltar,actividades,
sambos,cultura/tradiciones,
santas,cultura/tradiciones,
sañwe,ecosistema,
sector,geografía,
siga,sin definir,
sigiloso,descripciones,
significado,aprendizaje,
sigo,sin definir,
sigue,sin definir,
silla,cotidiano,
sindrome,salud/bienestar,
smog,ecosistema,
sorprendente,identidad,
sólo,sentimientos,
ta,sin definir,
tagua,ecosistema,
talca,geografía,
taller,aprendizaje,
tareas,aprendizaje,
tejedora,descripciones,
tejiendo,expresión artística,
terapias,actividades,
termina,sin definir,
termino,sin definir,
terreno,geografía,
tinkus,cultura/tradiciones,
tirúa,geografía,
tocó,expresión artística,
tollos,ecosistema,
tomates,cocina,
tordos,ecosistema,
tormentas,ecosistema,
tortas,cocina,
trabajamos,trabajo,
traen,trabajo,
traer,trabajo,
tranquilito,descripciones,
transparente,descripciones,
trasversa,descripciones,
tratado,sin definir,
tratan,sin definir,
treile,ecosistema,
tren,infraestructura urbana,
trewa,ecosistema,ani
trutruca,expresión artística,
tutankamón,cultura/tradiciones,
u,sin definir,
uficha,ecosistema,ani
vagón,sin definir,
vaya,sin definir,
vegetación,ecosistema,
vendimos,trabajo,
venezolana,cultura/tradiciones,
veo,sin definir,
verlos,sin definir,
viajado,actividades,
viajamos,actividades,
vieja,descripciones,
viendo,sin definir,
vieron,experiencias,
viola,expresión artística,
virgen,cultura/tradiciones,
viña,geografía,
volantines,actividades,
volvió,sin definir,
whatsapp,cotidiano,
when'the'saints'go'marching'in,expresión artística,
wiño,cultura/tradiciones,
wuñol,cultura/tradiciones,
zorzales,ecosistema,
ñam,sin definir,
arco,cotidiano,
arena,ecosistema,
ascensores,infraestructura urbana,
atrás,descripciones,
auto,infraestructura urbana,
bacán,descripciones,
bicicross,actividades,
boya,cotidiano,
brazos,cotidiano,
brillitos,descripciones,
caigo,sin definir,
caleta,infraestructura urbana,
campeonato,actividades,
canelo,geografía,
carteras,cotidiano,
cavancha,geografía,
celebrar,cultura/tradiciones,
cementerio,infraestructura urbana,
chancho,ecosistema,
chiquitito,descripciones,
chuchu,relaciones,abue
chupones,cotidiano,
circense,descripciones,
conejos,ecosistema,
contaminen,salud/bienestar,
coquimbo,geografía,
costa,geografía,
cuadro,cotidiano,
cuesta,geografía,
cuestan,sentimientos,
cueste,sentimientos,
cumplir,aprendizaje,
dando,aprendizaje,
decirle,sin definir,
demasiado,sin definir,
doctora,trabajo,
down,salud/bienestar,
ecuador,geografía,
ejercicios,actividades,
elástica,descripciones,
estabamos,experiencias,
fines,sin definir,
función,experiencias,
generación,experiencias,
hacerme,sin definir,
hermanas,relaciones,
hermosos,descripciones,
interior,descripciones,
llegando,sin definir,
lograr,aprendizaje,
maipo,geografía,
mamiña,geografía,
mandar,trabajo,
minutos,cotidiano,
nació,identidad,
olas,ecosistema,
orgulloso,sentimientos,
palín,cultura/tradiciones,
pampilla,cultura/tradiciones,
ping'pong,actividades,
payaso,trabajo,
pelotita,cotidiano,
perritos,ecosistema,
pintarme,actividades,
prat,sin definir,
promesa,relaciones,
propaganda,trabajo,
quedaba,sin definir,
quedo,sin definir,
quería,identidad,
rangintu'lewfu,geografía,
redes,trabajo,
rodante,descripciones,
seco,descripciones,
seguirlas,sin definir,
sentí,sentimientos,
sigan,sin definir,
tamaños,descripciones,
tejas'verdes,geografía,
teletón,infraestructura urbana,
tiran,trabajo,
tirar,trabajo,
trarilonco,cultura/tradiciones,
triángulo,descripciones,
uñas,cotidiano,
vaca,ecosistema,
venir,sin definir,
zancudos,ecosistema,
amarra,trabajo,
amiga,relaciones,
caminar,actividades,
chinita,cultura/tradiciones,
hilo,cotidiano,
mielomeningocele,salud/bienestar,
parra,ecosistema,
ponotro,geografía,
practicando,actividades,
rali'pitra,geografía,
región,cultura/tradiciones,
ropa,cotidiano,
salí,sin definir,
show,actividades,
síndrome,salud/bienestar,
venezolanos,cultura/tradiciones,
wanderers,sin definir,
bailan,expresión artística,
carrera,actividades,
tirana,cultura/tradiciones,
stickers,cotidiano,
sueños,identidad,
iquique,geografía,
valparaíso,geografía,
circo,infraestructura urbana,
venezuela,geografía,
invitó,sin definir,
